timestamp;problem;algorithm;structure;vertices;density;iterations;duration_us
# Algorytm: Ford-Fulkerson | Badana struktura: Macierz Incydencji
2026-06-19 06:53:51;MF;FordFulkerson;IncidenceMatrix;150;50;1;1003189
2026-06-19 06:53:52;MF;FordFulkerson;IncidenceMatrix;150;50;2;999902
2026-06-19 06:53:53;MF;FordFulkerson;IncidenceMatrix;150;50;3;996027
2026-06-19 06:53:54;MF;FordFulkerson;IncidenceMatrix;150;50;4;1000013
2026-06-19 06:53:55;MF;FordFulkerson;IncidenceMatrix;150;50;5;1004892
2026-06-19 06:53:56;MF;FordFulkerson;IncidenceMatrix;150;50;6;1017983
2026-06-19 06:53:57;MF;FordFulkerson;IncidenceMatrix;150;50;7;1005804
2026-06-19 06:53:58;MF;FordFulkerson;IncidenceMatrix;150;50;8;1004612
2026-06-19 06:53:59;MF;FordFulkerson;IncidenceMatrix;150;50;9;1009241
2026-06-19 06:54:00;MF;FordFulkerson;IncidenceMatrix;150;50;10;1006208
2026-06-19 06:54:01;MF;FordFulkerson;IncidenceMatrix;150;50;11;1005073
2026-06-19 06:54:03;MF;FordFulkerson;IncidenceMatrix;150;50;12;1008107
2026-06-19 06:54:04;MF;FordFulkerson;IncidenceMatrix;150;50;13;1010542
2026-06-19 06:54:05;MF;FordFulkerson;IncidenceMatrix;150;50;14;1010323
2026-06-19 06:54:06;MF;FordFulkerson;IncidenceMatrix;150;50;15;1012707
2026-06-19 06:54:07;MF;FordFulkerson;IncidenceMatrix;150;50;16;1005420
2026-06-19 06:54:08;MF;FordFulkerson;IncidenceMatrix;150;50;17;1008644
2026-06-19 06:54:09;MF;FordFulkerson;IncidenceMatrix;150;50;18;1008633
2026-06-19 06:54:10;MF;FordFulkerson;IncidenceMatrix;150;50;19;1010166
2026-06-19 06:54:11;MF;FordFulkerson;IncidenceMatrix;150;50;20;1004611
2026-06-19 06:54:12;MF;FordFulkerson;IncidenceMatrix;150;50;21;1008529
2026-06-19 06:54:13;MF;FordFulkerson;IncidenceMatrix;150;50;22;1013244
2026-06-19 06:54:14;MF;FordFulkerson;IncidenceMatrix;150;50;23;1006382
2026-06-19 06:54:15;MF;FordFulkerson;IncidenceMatrix;150;50;24;972806
2026-06-19 06:54:16;MF;FordFulkerson;IncidenceMatrix;150;50;25;985311
2026-06-19 06:54:17;MF;FordFulkerson;IncidenceMatrix;150;50;26;978495
2026-06-19 06:54:18;MF;FordFulkerson;IncidenceMatrix;150;50;27;985361
2026-06-19 06:54:19;MF;FordFulkerson;IncidenceMatrix;150;50;28;992129
2026-06-19 06:54:20;MF;FordFulkerson;IncidenceMatrix;150;50;29;992876
2026-06-19 06:54:21;MF;FordFulkerson;IncidenceMatrix;150;50;30;994748
2026-06-19 06:54:22;MF;FordFulkerson;IncidenceMatrix;150;50;31;999482
2026-06-19 06:54:23;MF;FordFulkerson;IncidenceMatrix;150;50;32;999169
2026-06-19 06:54:24;MF;FordFulkerson;IncidenceMatrix;150;50;33;1003903
2026-06-19 06:54:25;MF;FordFulkerson;IncidenceMatrix;150;50;34;999429
2026-06-19 06:54:26;MF;FordFulkerson;IncidenceMatrix;150;50;35;1001097
2026-06-19 06:54:27;MF;FordFulkerson;IncidenceMatrix;150;50;36;1006347
