timestamp;problem;algorithm;structure;vertices;density;iterations;duration_us
# Algorytm: Ford-Fulkerson | Badana struktura: Macierz Incydencji
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;1;15908
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;2;17415
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;3;16264
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;4;15524
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;5;15459
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;6;15520
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;7;15971
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;8;16133
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;9;15946
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;10;15631
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;11;15464
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;12;16590
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;13;16065
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;14;16356
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;15;16043
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;16;15839
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;17;16589
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;18;15359
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;19;15283
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;20;15382
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;21;15390
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;22;15760
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;23;15601
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;24;15627
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;25;15538
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;26;15518
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;27;15626
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;28;15584
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;29;15907
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;30;15516
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;31;15491
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;32;14987
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;33;16756
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;34;16485
2026-06-19 06:55:45;MF;FordFulkerson;IncidenceMatrix;60;99;35;16652
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;36;16967
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;37;16641
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;38;17236
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;39;16989
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;40;16702
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;41;16019
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;42;16372
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;43;15555
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;44;15383
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;45;15119
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;46;15189
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;47;15539
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;48;15515
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;49;15497
2026-06-19 06:55:46;MF;FordFulkerson;IncidenceMatrix;60;99;50;15540
;;;;;;;AVG: 15908
;;;;;;;MIN: 14987
;;;;;;;MAX: 17415
# Algorytm: Ford-Fulkerson | Badana struktura: Lista Nastepnikow
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;1;13597
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;2;13620
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;3;13564
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;4;13813
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;5;13964
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;6;14275
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;7;13775
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;8;13721
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;9;13737
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;10;13596
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;11;14134
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;12;13780
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;13;14033
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;14;13859
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;15;14818
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;16;13622
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;17;13830
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;18;13780
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;19;13812
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;20;13843
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;21;13737
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;22;13876
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;23;14272
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;24;13852
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;25;13631
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;26;14389
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;27;13640
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;28;13547
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;29;13532
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;30;13705
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;31;13633
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;32;13717
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;33;13902
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;34;14421
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;35;14310
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;36;14180
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;37;14580
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;38;14439
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;39;14758
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;40;13629
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;41;14001
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;42;14280
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;43;14039
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;44;13700
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;45;13619
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;46;13875
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;47;14171
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;48;14233
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;49;13759
2026-06-19 06:55:46;MF;FordFulkerson;AdjacencyList;60;99;50;13629
;;;;;;;AVG: 13924
;;;;;;;MIN: 13532
;;;;;;;MAX: 14818
