timestamp;problem;algorithm;structure;vertices;density;iterations;duration_us
# Algorytm: Dijkstra | Badana struktura: Macierz Incydencji
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;1;2313
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;2;1909
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;3;1910
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;4;1793
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;5;1769
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;6;1738
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;7;1791
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;8;1813
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;9;1986
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;10;1802
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;11;1874
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;12;1784
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;13;1882
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;14;1743
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;15;1798
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;16;1779
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;17;1878
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;18;1744
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;19;1776
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;20;1853
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;21;1801
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;22;1801
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;23;1761
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;24;1806
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;25;1755
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;26;1830
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;27;1747
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;28;1735
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;29;1803
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;30;1820
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;31;1853
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;32;1791
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;33;1826
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;34;2057
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;35;1847
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;36;1744
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;37;1790
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;38;1745
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;39;1772
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;40;1754
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;41;1785
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;42;1750
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;43;1918
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;44;1796
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;45;1741
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;46;1756
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;47;1752
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;48;1882
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;49;1760
2026-06-19 06:55:38;SP;Dijkstra;IncidenceMatrix;60;99;50;1742
;;;;;;;AVG: 1817
;;;;;;;MIN: 1735
;;;;;;;MAX: 2313
# Algorytm: Dijkstra | Badana struktura: Lista Nastepnikow
2026-06-19 06:55:38;SP;Dijkstra;AdjacencyList;60;99;1;124
2026-06-19 06:55:38;SP;Dijkstra;AdjacencyList;60;99;2;56
